,단어,뜻
767,audit,"회계 감사, 심사"
768,accounting,회계
769,budget,예산
770,financial,"재정의, 금전상의"
771,curtail,"~을 줄이다, 삭감하다"
772,deficit,"적자, 부족액"
773,recently,최근에
774,substantially,"크게, 상당히"
775,committee,위원회
776,frequently,"자주, 흔히"
777,capability,"능력, 역량"
778,proceeds,수익금
779,reimburse,"변제하다, 상환하다"
780,considerably,"상당히, 많이"
781,adequate,"충분한, 적절한"
782,total,"총계의, 전부의"
783,allocate,"할당하다, 배분하다"
784,inspector,"조사관, 감독관"
785,preferred,"선호되는, 우선의"
786,quarter,사분기; 4분의1
787,interrupt,"중단시키다, 방해하다"
788,browse,"흝어보다, 둘러보다"
789,prompt,"즉각적인; 신속한, 촉발하다, 유도하다"
790,deduct,"공제하다, 빼다"
791,measurement,"측정, 측량; 치수"
792,shorten,"단축하다, 짧게하다"
793,amend,수정하다
794,calculate,"계산하다, 산출하다"
795,exempt,"면제된, ~이 없는"
796,deficient,"부족한, 불충분한"
797,compare,비교하다
798,fortunate,운 좋은
799,expenditure,"지출, 비용"
800,accurately,정확하게
801,worth,"~의 가치가 있는, (얼마)어치, 가치"
802,excess,"초과, 초과량"
803,fiscal,"회계의, 재정상의"
804,incidental,부수적인
805,inflation,"물가상승, 인플레이션, 통화팽창"
806,liable,책임져야 할; ~하기 쉬운
807,spend,"~을 쓰다, 소비하다"
808,turnover,"총 매상고, 거래액; 이직률"
