,단어,뜻
79,accustomed,익숙한
80,corporation,"주식회사, 법인"
81,demanding,"요구가 많은, 힘든"
82,colleague,동료
83,division,부서
84,request,"요청, 요청하다"
85,efficiently,효율적으로
86,manage,~을 경영하다; 가까스로 하다
87,submit,제출하다
88,directly,곧바로
89,remind,"~에게 상기시키다, 일깨우다"
90,instruct,"지시하다, 가르치다"
91,deadline,"마감일, 마감 시간"
92,sample,"견본, 샘플, 표본, 시식하다, (견본으로 질을)시험하다"
93,notify,"~에게 통지하다, 알리다"
94,perform,"행하다, 실행하다"
95,monitor,"감독하다, 감시하다, 실행하다"
96,deserve,"~할 만하다, ~할 가치가 있다"
97,assignment,"일, 임무, 과제"
98,entire,전체의
99,release,"발표하다, 공개하다, 출시, 발매"
100,extension,"연장, 연기; (전화의)내선"
101,electronically,"컴퓨터 통신망으로, 컴퓨터로"
102,attendance,"출석, 출근"
103,absolutely,"절대적으로, 완전히"
104,delegate,(권한등을)위임하다. 대표
105,attentively,"주의 깊게, 조심스럽게"
106,supervision,감독
107,workshop,"워크숍, 연수"
108,draw,"끌다, 끌어당기다"
109,revision,"수정, 개정"
110,reluctantly,"마지못해, 꺼려하여"
111,acquaint,"~에게 숙지시키다, 잘 알게 하다"
112,convey,(용건을)전달하다
113,check,"검사하다, 조사하다, 확인하다"
114,headquarters,본부
115,file,"(서류를)정리하다, 철하다;(서류, 신청, 고소 등을)정식으로 제기하다, 제출하다"
116,oversee,감독하다
117,involved,"관여하는, 관계된, 연루된"
118,concentrate,"집중하다, 집중시키다"
