,단어,뜻
0,resume,이력서
1,applicant,"지원자, 신청자"
2,requirement,"필요조건, 요건"
3,meet,"(필요,요구 등을)만족시키다"
4,qualified,"자격있는, 적격의"
5,candidate,"후보자, 지원자"
6,confidence,"확신, 자신, 신임"
7,highly,"매우, 대단히"
8,professional,"전문적인, 직업의, 전문가"
9,interview,"면접, 면접을 보다"
10,hire,고용하다
11,training,"교육, 훈련"
12,reference,"추천서, 참고"
13,position,"일자리, 직책, 두다"
14,achievement,"성취, 달성"
15,impressed,"인상 깊게 생각하는, 감명을 받은"
16,excellent,훌륭한
17,eligible,"자격이 있는, 적격의"
18,identify,"알아보다, 확인하다"
19,associate,관련시키다
20,condition,조건
21,employment,고용
22,lack,"~이 없다, 부족"
23,managerial,관리의
24,diligent,성실한
25,familiar,"익숙한, 친숙한"
26,proficiency,"숙달, 능숙"
27,prospective,"장래의, 미래의"
28,appeal,"관심을 끌다, 매력적이다"
29,specialize,"~을 전공하다, 전문적으로 다루다"
30,apprehensive,"걱정하는, 염려하는"
31,consultant,"고문, 컨설턴트"
32,entitle,자격을 주다
33,degree,학위
34,payroll,"임금대장, 금료명부"
35,recruit,(신입사원등을)모집하다
36,certification,"증명서, 증명"
37,occupation,직업
38,wage,"임금, 급료"
