,단어,뜻
526,international,국제적인
527,attraction,관광 명소
528,itinerary,여행 일정
529,exotic,"이국적인, 매혹적인"
530,diverse,다양한
531,superb,"최고의, 뛰어난"
532,baggage,수화물
533,destination,목적지
534,missing,"분실된, 없어진"
535,locate,(~의 위치를)찾아내다;~을 위치시키다
536,approximately,대략
537,duty,"관세,세금; 직무,의무"
538,process,"과정, 처리하다"
539,board,"탑승하다, 이사회"
540,comfortable,편안한
541,declare,(세관에서)신고하다
542,specify,명시하다
543,depart,출발하다
544,emergency,"비상시, 비상 사태"
545,passenger,승객
546,outgoing,"(장소를)출발하는, 떠나는;(지위를)떠나는"
547,tighly,"단단히, 꽉"
548,tour,"(공장,시설 등의)견학, 짧은 여행"
549,carrier,"항공사, 수송기, 수송 회사"
550,customarily,"관례상, 습관적으로"
551,confuse,혼란시키다
552,arrive,도착하다
553,brochure,"(홍보용)소책자, 브로셔"
554,involve,"수반하다, 포함하다; 참여시키다"
555,ship,"(배나 다른 운송 수단으로)운송하다, 수송하다, 선박, 배"
556,suitcase,여행가방
557,unavailable,"이용할 수 없는, 구할 수 없는"
558,fill out/in,"(서류에)기입하다, 적어 넣다"
559,customs,세관
560,away,떨어져서
561,dramatic,"멋진, 극적인; 급격한"
562,hospitality,"환대, 친절"
563,indulge,"빠지다, 탐닉하다"
564,proximity,"가까움, 근접함"
565,seating,(집합적)좌석 설비; 좌석 배열
566,unlimited,무제한의
