,단어,뜻
688,check in,"체크인하다, 숙박 수속을 하다"
689,compensate,보상하다
690,complimentary,"무료의, 우대의"
691,chef,주방장
692,container,"용기, 그릇"
693,elegant,"우아한, 고상한"
694,flavor,"맛, 풍미"
695,accommodate,"(건물 등이)~을 수용하다, 숙박시키다;(충분한 공간을) 제공하다,(조건, 요구 등을)만족시키다"
696,available,(사물이)이용 가능한;(사람이) 시간이 있는
697,reception,"환영회; (호텔, 회사, 병원 등의)접수처"
698,in advance,"미리, 사전에"
699,refreshments,"다과, 가벼운 음식물"
700,make,"~을 하다, ~을 만들다"
701,cater,(연회 등의)음식물을 공급하다
702,reservation,"예약, 지정; 보호구역"
703,beverage,음료
704,confirm,확인하다
705,cancel,취소하다
706,rate,요금
707,conviniently,편리하게
708,decorate,장식하다
709,information,"정보, 자료"
710,retain,"유지하다, 보유하다"
711,atmosphere,"분위기, 환경"
712,cuisine,(독특한)요리
713,sequence,"순서, 차례"
714,extensive,"광범위한, 넓은"
715,prior,"전의, 먼저의"
716,book,예약하다
717,amenity,편의 시설
718,belongings,"소지품, 소유물"
719,entirely,완전히
720,ease,"완화시키다, 쉬움, 용이함"
721,ingredient,"재료, 성분"
722,sip,"음미하며 마시다, 홀짝거리다"
723,stir,"휘젓다, 뒤섞다"
724,choice,"선택물, 선택 사항, 선택"
725,complication,복잡한 문제
726,freshness,신선함
727,occupancy,(호텔등의)이용률
