,단어,뜻
1098,furnished,가구가 비치된
1099,residence,"거주지, 주택"
1100,spacious,(공간이)넓은
1101,drape,(방 등을 커튼 등으로)장식하다
1102,unoccupied,"(집 등이)비어 있는, 사람이 살지 않는"
1103,renovation,"수리, 개조"
1104,appropriate,"적당한, 적합한"
1105,delay,"연기하다, ~을 뒤로 미루다"
1106,community,"지역 사회, 공동체"
1107,construction,"건설, 건축"
1108,repair,수리하다
1109,currently,현재
1110,regularly,정기적으로
1111,arrange,"배열하다, 정돈하다"
1112,location,"장소, 위치"
1113,restore,"복구하다, 회복시키다"
1114,presently,현재
1115,numerous,많은
1116,abandon,그만두다; 버리다
1117,contractor,"계약자, 도급업자"
1118,develop,개발하다
1119,maintain,"유지하다, 관리하다"
1120,densely,"빽빽이, 밀집하여"
1121,prepare,"준비하다, 채비를 갖추다"
1122,finally,"결국, 마침내"
1123,district,"지역, 지구"
1124,renewal,재개발
1125,compulsory,의무적인
1126,interfere,"방해하다, 해치다"
1127,relocation,"이전, 재배치"
1128,totally,"완전히, 전적으로"
1129,actually,"실제로, 사실은"
1130,architect,건축가
1131,enlarge,"확장하다, 확대하다"
1132,install,"설치하다, 장치하다"
1133,permanent,영구적인
1134,suppose,"생각하다, 추측하다"
1135,adjacent,인접한
1136,consist,"구성되다, 이루어지다"
1137,utility,공공시설; 공공요금
