,단어,뜻
851,agenda,"의제, 의사일정"
852,convene,"(회원 등이)모이다, (회의가)개최되다"
853,refute,"부인하다, 반박하다"
854,coordination,조정
855,unanimous,"만장일치의, 동의하는"
856,convince,"납득시키다, 확신시키다"
857,consensus,"여론, 일치된 의견"
858,defer,"연기하다, 미루다"
859,usually,"보통, 일반적으로"
860,reschedule,일정을 바꾸다
861,meeting,회의
862,determine,"알아내다; 결정하다, 확정하다"
863,report,"보고하다; 출두하다, (직장,회의 등에 도착을)알리다, 보고서; 보도, 기록"
864,comment,"논평하다, 언급하다"
865,phase,단계
866,approve,"승인하다, 찬성하다"
867,enclosed,동봉된
868,easy,"쉬운, 용이한"
869,record,"기록; 경력, 이력, 기록하다"
870,suggestion,제안
871,attention,"주의, 경청"
872,object,반대하다
873,coincidentally,"우연히, 일치하게, 동시 발생적으로"
874,crowded,"붐비는, 복잡한"
875,undergo,"겪다, 거치다, 경험하다"
876,outcome,결과
877,narrowly,"주의 깊게, 좁게; 가까스로, 간신히, 겨우"
878,differ,"의견을 달리하다, 다르다"
879,discuss,"논의하다, 토론하다"
880,give,"(연설, 수업 등을)하다"
881,brief,"~에게 간단히 설명하다, 브리핑하다"
882,distract,"(주의를)산만하게 하다, 빗기게 하다"
883,emphasis,"강조, 중점"
884,press,"언론(계),보도기관, 누르다"
885,organize,"준비하다, 조직하다, 정리하다"
886,mention,언급하다
887,persuasive,설득력 있는
888,understanding,이해심 있는
889,adjourn,(회의 등을)휴회하다
890,constructive,건설적인
891,preside,"(회의의)사회를 보다, ~의 의장을 맡아보다"
892,irrelevant,"관계가 없는, 무관한"
893,constraint,제한
