,단어,뜻
894,host,(대회 등을)주최하다
895,annual,매년의
896,purpose,"목적, 의도"
897,enroll,등록하다
898,lecture,"강의, 강연"
899,participant,참가자
900,attend,"참석하다, 출석하다"
901,encourage,"장려하다, 복돋아주다"
902,leave,"휴가, 떠나다, 남기다"
903,recommendation,"추천사항, 추천"
904,conference,"회의, 회담"
905,schedule,~을 예정하다
906,include,포함하다
907,result,"결과,(~의 결과로)되다"
908,register,등록하다
909,require,요구하다
910,grateful,"고마워하는, 감사하는"
911,overtime,"초과근무, 야근"
912,responsibility,"부담, 책임, 의무"
913,assent,"찬성하다, 승인, 동의"
914,regard,"~을 -으로 간주하다, 여기다,관심,배려"
915,tentative,"임시적인, 잠정적인"
916,welcome,"반가운, 기꺼이 받아들여지는"
917,function,"행사, 연회"
918,commence,시작되다
919,objective,"목표, 목적"
920,excited,"신이 난, 들뜬"
921,reimbursement,"상환, 변제, 배상"
922,treatment,"대우, 처우"
923,honor,"존경, 명예"
924,emphasize,강조하다
925,entry,"(경기 등의)참가자, 출품물"
926,bonus,"상여금, 보너스"
927,salary,급여
928,earn,"(금전 등을)벌다; (평판을)받다, 얻다"
929,arise,"(문제 등이)발생하다, 일어나다"
930,labor,노동
931,union,노동조합
932,existing,"기존의, 현행의"
933,exploit,"착취하다, 부당하게 이용하다"
