,단어,뜻
119,lax,"(행동 등이)느슨한, 규율에 못 미치는"
120,procrastinate,"미루다, 꾸물거리다"
121,combined,"결합된, 합동의"
122,accomplish,성취하다
123,voluntarily,자발적으로
124,undertake,(일을)떠맡다
125,assume,"(증거는 없으나)사실이라고 생각하다;(책임,역할을)맡다"
126,occasionally,"가끔, 때때로"
127,employee,"직원, 고용인"
128,assist,"돕다, 조력하다"
129,satisfied,"만족하는, 만족스러워하는"
130,manner,"방식, 태도"
131,responsible,"책임이 있는, 책임져야 할"
132,conduct,(업무 등을)수행하다
133,adjust,적응하다
134,personnel,"(집합적)직원, 인원; 인사과"
135,agree,동의하다
136,supervise,"감독하다, 지도하다"
137,coworker,"동료, 협력자"
138,direct,"~에게 길을 안내하다, 가르쳐 주다"
139,confidential,"기밀의, 내밀한"
140,assign,"배정하다, 할당하다"
141,leading,"선도적인, 일류의, 가장 중요한, 선두적인"
142,formal,격식을 갖춘
143,remove,"해임하다, 제거하다"
144,collect,모으다
145,coordinate,조정하다
146,hardly,거의~하지않다
147,abstract,"추상적인, 막연한"
148,directory,주소록
149,accountable,책임이 있는
150,skillfully,"능숙하게, 솜씨있게"
151,exclusive,"독점적인, 배타적인"
152,intention,"의지, 의향"
153,transform,"바꾸다, 변모시키다"
154,respectful,"정중한, 존중하는"
155,duplicate,사본
156,contrary,반대
157,disturbing,"충격적인, 불안감을 주는, 방해하는"
158,engage,"관여하다, 종사하다"
159,foster,"촉진하다, 육성하다"
160,neutrality,"중립성, 중립"
161,widely,널리
