,단어,뜻
975,congestion,"(교통의)체증, 혼잡"
976,alleviate,완화하다
977,divert,"우회시키다, 다른 곳으로 돌리다"
978,detour,우회
979,fuel,연료
980,malfunction,"오작동, 기능불량"
981,permit,"허락하다, 허가증"
982,transportation,"교통(수단), 운송 수단"
983,opportunity,기회
984,clearly,명확히
985,ongoing,계속 진행 중인
986,detailed,상세한
987,alternative,"대안, 대체, 다른, 대신의"
988,obtain,"획득하다, 얻다"
989,designated,지정된
990,intersection,"교차로, 교차지점"
991,equip,"갖추다, 설비하다"
992,commute,통근하다
993,downtown,"시내에서, 도심지로"
994,automotive,자동차의
995,closure,폐쇄
996,vehicle,"차량, 운송 수단"
997,platform,승강장
998,official,"공무원, 관리, 공식적인"
999,transit,"교통, 수송, 통과하다"
1000,fare,교통요금
1001,expense,"비용, 지출"
1002,trust,"신뢰, 신임, 믿다, 신뢰하다"
1003,head,"(~의 방향으로)나아가다, 향하게 하다"
1004,drive,"(차 등을)운전하다, 타고가다, 조종하다"
1005,fine,벌금
1006,pass,"지나가다, 통과하다"
1007,securely,"(매듭 등이)단단하게, 튼튼하게"
1008,prominently,"눈에 잘 띄게, 두드러지게"
1009,reserved,"예약된, 예약한; 지정된"
1010,average,"평균치, 평균"
1011,collision,충돌
1012,tow,견인하다
1013,reverse,"뒤의, 반대의"
1014,obstruct,"(전망 등을)가리다, 차단하다; (도로 등을)막다"
