,단어,뜻
39,attire,"복장, 옷차림새"
40,code,"규범, 관례;암호"
41,concern,"우려, 걱정, 문제, 일, ~을 걱정스럽게 하다; 영향을 미치다, 관련되다."
42,policy,"규정; 보험, 증권"
43,comply,"준수하다, 따르다"
44,regulation,규정
45,exception,예외
46,adhere,"지키다, 고수하다"
47,severely,"엄격하게, 심하게"
48,refrain,"자제하다, 삼가다"
49,permission,"허락, 허가"
50,access,"이용권한, 접근;통로, ~에 접근하다, 도달하다"
51,thoroughly,"철저하게, 완전히, 대단히"
52,revise,"(의견, 계획을)수정하다, 변경하다"
53,approach,"접근법, 처리방법"
54,approval,"승인, 인가"
55,form,"종류, 유형, 양식"
56,immediately,"즉시, 곧"
57,inspection,"점검, 검사"
58,arrangement,"준비, 마련, 주선"
59,procedure,절차
60,negative,"부정적인, 비관적인"
61,mandate,"명령하다, 지시하다, 권한, 지시, 명령"
62,effect,"(법률등의)효력, 효과, 영향, 결과로서 ~을 가져오다"
63,drastically,"심하게, 과감하게, 철저하게"
64,according to,~에 따라
65,enable,(무엇을)가능하게 하다
66,standard,"기준, 표준"
67,constant,"지속적인, 끊임없이 계속하는"
68,act,"법령, 결의서; 행위, 행동, 결정하다, 판결을 내리다, 행동하다"
69,compensation,"보상금, 보상"
70,ban,"금지, 금지하다"
71,obligation,"의무, 책임"
72,authorize,"~을 인가하다, 권한을 부여하다."
73,prohibit,금지하다
74,abolish,"(제도, 법률등을)폐지하다"
75,enforce,"(법률을)시행하다, 집행하다"
76,habit,"습관, 버릇"
77,lagislation,"법률, 법규"
78,restrict,"한정하다, 제한하다"
