,단어,뜻
648,fragile,깨지기 쉬운
649,perishable,부패하기 쉬운
650,deliver,배달하다; (연설을)하다
651,ensure,"확실하게 하다, 보장하다"
652,courier,"급송 택배, 운반인"
653,carton,(큰)판지상자
654,address,"주소,(어려운 문제 등을)처리하다,다루다"
655,shipment,"선적, (화물의)발송;수송품, 적하물"
656,particularly,특히
657,adequately,적절히
658,article,"물품, 물건; 기사, 논설"
659,efficient,"(기계, 방법 등이)효과적인,능률적인"
660,agency,"대행 회사, 대리점"
661,enclose,"~을 동봉하다; ~을 둘러싸다, 애워싸다"
662,careful,"조심스러운, 주의 깊은"
663,pick up,"~을 찾다; (사람,물건 등을) 도중에 태우다"
664,carry,"지니다; (물건을)팔다, 가게에 놓다"
665,attach,"붙이다, 접착하다, 첨부하다"
666,formerly,이전에
667,package,"소포, 꾸러미"
668,react,"반응하다, 대응하다"
669,content,내용물
670,convenience,"편의, 편리"
671,acknowledge,"인정하다; (편지 등의)수령을 알리다, 감사하다"
672,caution,"주의, 조심"
673,correspondence,"편지, 통신문"
674,separate,분리하다; 분류하다
675,remarkable,"현저한, 두드러진"
676,handle,"취급하다, 다루다"
677,warehouse,"창고, 저장소"
678,impose,(세금 등을)부과하다
679,storage,"보관소, 저장소"
680,detach,"분리하다, 떼다"
681,envelope,봉투
682,exclusion,"제외, 배제"
683,recipient,수신자
684,affix,(우표 등을)붙이다
685,incorrect,부정확한
686,oblige,"어쩔 수 없이 ~하게 하다,~에게 강요하다"
687,step,"단계; 조치, 수단"
